team,season,MP_team,FG_team,FGA_team,FG_per_team,3P_team,3PA_team,3P_per_team,2P_team,2PA_team,2P_per_team,FT_team,FTA_team,FT_per_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,MP_opp,FG_opp,FGA_opp,FG_per_opp,3P_opp,3PA_opp,3P_per_opp,2P_opp,2PA_opp,2P_per_opp,FT_opp,FTA_opp,FT_per_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp
LAL,2010,12,9,7,18,13,10,24,11,13,14,17,17,12,4,4,2,15,11,16,6,4,12,12,14,23,5,11,25,1,13,16,12,2,2,7,17,20,18,21,10,9,18,12,9
MEM,2010,2,4,7,9,30,30,26,1,1,13,8,4,25,1,18,4,29,7,18,27,12,7,2,27,24,24,25,26,15,25,14,28,7,7,12,15,2,7,23,24,28,17,2,24
MIA,2010,5,26,25,17,17,17,19,22,21,20,21,21,19,19,13,15,28,12,4,4,16,25,5,1,5,2,14,20,5,1,3,2,19,20,11,8,15,11,1,3,6,12,25,2
MIL,2010,1,20,2,29,6,5,12,26,17,29,30,29,17,8,11,7,14,19,20,5,25,23,1,2,3,10,2,2,7,7,8,8,26,27,23,1,27,24,4,10,21,4,20,7
MIN,2010,17,14,3,25,26,28,23,4,3,27,24,22,22,9,12,8,24,13,28,30,15,20,17,28,28,25,30,29,25,27,18,27,17,15,29,19,25,26,30,30,25,16,17,29
NOH,2010,12,7,9,12,9,9,8,13,14,12,29,30,7,22,24,25,8,9,30,9,6,17,12,26,15,28,19,19,18,26,13,29,5,4,8,11,21,17,26,12,12,14,26,21
NYK,2010,5,12,6,20,2,2,19,28,29,8,26,28,4,23,20,23,13,16,29,13,9,9,5,29,27,30,21,23,14,29,23,30,9,9,9,27,28,28,18,17,13,13,29,28
OKC,2010,15,19,20,14,25,23,25,9,8,18,2,3,2,10,8,3,23,6,1,24,20,14,15,10,14,7,7,10,3,12,21,7,18,17,21,25,7,10,7,21,14,5,11,11
ORL,2010,26,24,27,7,1,1,3,30,30,2,10,7,29,25,1,5,25,27,5,14,7,6,26,8,16,1,12,11,23,8,20,1,3,3,10,3,14,8,2,6,1,27,4,4
PHI,2010,15,17,15,16,21,21,22,10,12,15,27,27,16,11,26,21,17,5,8,18,14,22,15,17,8,22,28,21,30,11,7,18,16,16,24,14,12,12,22,22,3,11,30,18
PHO,2010,26,1,13,1,3,6,1,12,24,3,5,9,11,15,7,6,4,29,12,20,18,1,26,24,30,11,22,24,17,22,30,9,21,21,17,29,6,21,14,27,11,25,7,26
POR,2010,10,27,26,15,18,19,13,23,23,17,9,12,3,14,28,26,21,25,24,2,19,21,10,7,2,18,5,8,6,10,5,20,6,8,4,4,1,1,5,1,4,23,9,3
SAC,2010,5,9,5,19,20,20,16,7,4,21,25,18,28,3,14,10,20,21,23,23,26,18,5,23,22,20,9,6,19,23,25,19,24,24,28,16,19,16,12,18,27,21,22,25
