team,season,MP_team,FG_team,FGA_team,FG_per_team,3P_team,3PA_team,3P_per_team,2P_team,2PA_team,2P_per_team,FT_team,FTA_team,FT_per_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,MP_opp,FG_opp,FGA_opp,FG_per_opp,3P_opp,3PA_opp,3P_per_opp,2P_opp,2PA_opp,2P_per_opp,FT_opp,FTA_opp,FT_per_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp
CHI,2017,18,20,8,25,28,29,24,6,3,29,15,19,6,2,9,3,14,15,16,12,2,23,18,17,22,14,6,9,6,24,24,16,2,2,11,17,12,13,23,10,12,20,25,6
CLE,2017,4,5,19,5,2,2,2,27,29,3,19,13,23,21,7,12,13,30,25,14,4,4,4,26,26,16,26,24,18,22,22,17,3,3,20,27,16,20,29,8,8,28,6,20
DAL,2017,18,30,27,29,5,6,16,30,27,25,29,30,4,30,30,30,27,19,30,2,9,30,18,4,2,27,12,7,29,2,3,23,10,11,18,2,27,24,5,1,2,6,21,4
DEN,2017,25,3,4,6,7,8,11,10,14,5,9,8,17,5,6,2,2,28,27,23,9,3,25,30,25,29,16,10,28,30,29,27,9,9,26,7,3,4,25,22,15,30,13,27
DET,2017,13,7,1,22,27,26,28,2,2,23,30,29,29,8,5,4,24,25,29,3,3,26,13,9,8,20,11,8,21,11,10,14,8,8,24,1,25,10,21,4,6,27,30,7
GSW,2017,18,1,9,1,4,5,3,5,22,1,17,18,11,20,3,7,1,1,1,22,12,1,18,14,29,1,8,20,1,17,27,3,14,15,3,30,6,14,14,28,4,1,22,11
HOU,2017,18,4,7,12,1,1,15,29,30,2,2,1,20,9,15,8,3,8,20,25,15,2,18,27,27,23,22,25,4,27,18,28,11,10,23,23,17,19,27,24,17,5,8,26
IND,2017,7,15,20,10,23,27,4,9,9,17,16,23,2,23,21,26,16,9,9,16,13,15,7,7,11,10,25,25,13,5,6,12,24,20,30,24,19,21,11,20,16,6,20,14
LAC,2017,25,10,26,2,9,11,7,17,23,4,6,3,27,24,11,21,15,20,21,7,14,6,25,11,14,11,9,11,8,12,14,9,16,16,16,14,13,12,17,7,1,22,1,12
LAL,2017,30,13,6,21,19,19,22,11,7,22,23,17,21,7,26,17,26,5,28,26,22,17,30,28,17,30,24,19,26,28,12,30,18,19,5,17,23,23,30,25,26,11,28,28
MEM,2017,2,29,25,30,15,14,17,26,20,30,12,12,12,10,27,24,21,13,22,6,29,29,2,1,1,2,19,21,11,1,1,7,28,29,2,6,11,7,3,6,18,13,4,3
MIA,2017,18,18,14,15,12,12,12,18,15,18,28,26,30,11,20,15,22,22,3,11,20,21,18,6,10,7,1,1,3,20,28,5,19,17,27,14,18,15,2,5,14,19,27,5
MIL,2017,18,19,29,4,22,24,10,14,19,6,21,20,19,25,28,29,5,10,6,18,17,20,18,8,5,17,20,22,9,8,4,24,15,14,12,19,8,8,26,13,9,9,24,9
MIN,2017,13,12,21,8,30,30,20,3,5,10,6,8,5,6,29,25,9,12,19,19,16,13,13,20,7,28,18,14,23,15,8,29,13,13,8,10,1,2,18,18,19,14,7,18
NOP,2017,2,17,12,20,14,13,19,15,12,21,25,21,22,29,1,13,12,16,5,5,5,18,2,23,28,7,27,27,10,13,17,11,5,5,4,21,30,30,20,11,7,16,23,17
NYK,2017,7,8,3,23,24,21,21,8,4,28,26,28,10,3,17,5,19,23,4,17,19,18,7,22,24,13,15,23,7,19,16,20,22,22,13,29,14,26,8,15,10,25,29,23
OKC,2017,13,11,5,17,26,18,30,7,8,13,8,4,26,1,7,1,25,14,10,24,24,11,13,16,13,19,4,4,14,23,23,13,21,24,6,5,4,3,7,25,28,18,5,16
ORL,2017,13,22,11,28,25,15,29,16,10,26,27,27,25,17,16,20,18,24,15,9,11,27,13,25,20,25,13,13,24,25,21,22,12,12,7,8,28,28,22,16,20,24,26,22
PHI,2017,10,27,16,27,10,7,25,23,24,19,24,24,18,17,19,23,8,3,7,30,28,25,10,19,16,21,5,5,15,26,25,15,27,27,19,26,24,27,13,27,27,4,19,24
PHO,2017,10,6,2,19,29,28,27,1,1,24,1,2,15,4,18,6,29,6,13,27,30,9,10,24,19,26,23,12,30,21,20,18,30,30,28,16,21,18,10,21,25,8,2,30
POR,2017,1,9,13,14,8,10,6,20,16,16,11,11,14,15,14,14,23,25,10,15,26,8,1,15,18,12,10,6,27,18,26,4,29,28,29,12,22,17,4,19,24,26,16,25
SAC,2017,4,24,28,13,18,23,5,21,18,20,14,13,16,28,25,28,16,17,26,21,18,24,4,10,6,22,29,28,19,3,2,26,23,22,22,11,10,9,24,23,21,15,14,18
SAS,2017,13,14,24,6,17,25,1,13,11,15,18,24,7,16,12,11,7,11,2,10,7,14,13,3,9,4,2,3,5,10,18,2,7,7,14,9,5,5,6,14,5,12,17,2
TOR,2017,18,16,22,11,21,22,13,12,13,12,3,6,8,12,23,18,30,4,12,4,23,10,18,5,4,6,13,18,12,4,7,8,20,18,24,13,7,6,8,3,13,10,10,8
UTA,2017,25,28,30,9,13,17,9,24,26,9,22,16,24,19,13,19,28,29,8,13,8,28,25,2,3,2,3,2,17,9,15,1,6,6,10,4,2,1,1,8,3,29,12,1
WAS,2017,7,2,10,3,16,20,8,4,6,7,20,22,12,13,24,22,6,2,24,20,27,5,7,21,12,24,17,16,20,16,11,25,17,21,1,20,9,11,15,12,10,3,18,21
ATL,2018,27,28,20,25,9,7,15,26,24,22,22,23,7,22,23,25,8,12,23,27,14,25,27,21,18,24,27,26,28,17,11,22,9,12,20,24,18,23,30,28,28,5,14,23
BOS,2018,12,25,25,21,7,10,2,27,23,25,21,20,17,20,6,8,20,23,18,15,17,20,12,3,12,2,4,9,1,6,17,5,15,15,12,13,20,22,4,7,6,19,22,3
BRK,2018,5,27,10,29,2,2,20,29,29,19,8,11,14,15,9,9,9,30,16,25,23,14,5,27,27,19,2,1,23,30,30,9,23,24,14,25,28,30,5,15,27,30,19,28
CHO,2018,16,18,11,24,19,21,8,18,7,27,1,1,24,12,4,3,24,28,18,3,2,10,16,25,24,22,26,19,27,23,19,19,2,1,30,2,25,19,26,2,20,24,1,19
CHI,2018,5,23,1,30,10,6,21,23,15,30,28,26,20,16,8,6,10,18,30,13,9,26,5,23,20,27,30,30,24,14,4,30,10,7,29,1,30,26,29,5,24,24,29,27
CLE,2018,23,10,26,4,3,5,6,20,28,5,6,9,10,27,17,23,12,24,28,10,5,5,23,30,25,28,28,29,22,24,13,28,3,4,5,18,17,18,28,12,3,26,7,26
DAL,2018,12,29,17,26,5,4,17,28,27,21,29,29,19,30,21,27,19,25,29,1,10,28,12,14,5,23,16,16,15,10,6,25,13,16,6,5,29,27,15,7,8,23,20,12
DEN,2018,4,7,12,10,6,8,7,14,21,8,12,12,18,2,20,7,5,17,12,23,6,6,4,26,19,30,21,10,30,25,20,24,7,8,1,14,2,2,25,20,16,22,6,22
DET,2018,12,16,9,23,14,16,5,21,14,26,27,24,25,11,18,16,15,14,27,7,4,22,12,12,13,14,23,27,12,7,7,16,4,2,23,8,21,21,27,9,17,8,27,8
GSW,2018,23,1,24,1,8,17,1,5,20,1,18,22,1,28,7,17,1,9,1,26,15,1,23,18,29,3,13,13,10,22,28,6,19,19,8,30,1,8,17,30,1,14,25,18
HOU,2018,18,22,27,15,1,1,13,30,30,2,2,3,9,24,10,18,26,5,15,12,12,2,18,17,14,16,9,11,7,19,14,20,4,6,3,3,15,4,11,11,5,10,11,6
IND,2018,18,6,14,6,25,26,9,4,4,13,24,27,11,17,25,22,23,3,25,5,7,17,18,15,11,18,15,23,5,12,5,27,6,5,7,21,8,14,12,3,25,3,26,9
LAC,2018,27,11,21,9,22,22,23,7,12,8,4,2,26,10,16,15,22,14,18,19,18,9,27,19,23,12,18,21,9,20,18,14,21,21,25,28,13,17,24,27,29,21,2,24
LAL,2018,3,7,2,14,20,15,29,8,8,11,16,8,30,4,2,2,7,13,17,29,24,11,3,24,28,10,14,20,3,26,25,13,20,20,10,23,22,24,16,25,26,16,9,25
MEM,2018,27,30,30,27,24,24,25,24,19,28,17,16,6,18,30,29,26,22,14,23,30,29,27,1,1,17,16,12,20,1,2,17,30,30,18,12,12,8,9,21,23,9,10,13
MIA,2018,2,19,23,17,11,9,16,22,22,14,26,25,22,21,13,18,17,21,6,16,20,23,2,4,6,7,6,6,13,8,16,7,25,22,26,6,19,15,3,13,10,18,21,4
MIL,2018,8,14,28,3,27,25,22,6,13,6,5,7,8,29,28,30,14,2,5,11,26,15,8,13,4,20,9,7,25,15,12,15,27,25,27,19,8,12,18,4,7,2,16,16
MIN,2018,12,4,15,4,30,30,19,1,2,10,3,5,2,7,27,24,18,6,24,2,3,8,12,19,10,29,19,18,18,18,8,29,11,11,24,15,3,3,21,1,12,4,5,17
NOP,2018,1,2,3,2,18,18,13,2,6,4,19,17,15,26,3,10,3,8,3,22,8,3,1,28,30,9,20,25,8,28,29,10,12,9,28,29,23,25,20,22,4,11,13,29
NYK,2018,8,9,5,12,29,29,27,3,1,18,24,28,5,5,19,13,13,29,8,21,22,18,8,16,17,11,24,22,20,9,10,11,24,23,22,21,10,16,22,22,14,28,28,20
OKC,2018,8,13,4,18,15,11,24,15,16,16,10,4,29,1,26,5,28,1,11,13,21,12,8,9,7,12,25,24,19,3,3,12,14,13,17,11,6,5,14,15,9,1,3,10
ORL,2018,23,20,17,19,17,14,28,19,18,17,23,21,21,25,24,26,11,20,13,17,11,24,23,22,21,20,8,8,14,29,26,17,16,14,21,27,26,28,23,18,19,17,24,21
PHI,2018,16,5,13,8,12,12,10,11,17,7,11,10,23,3,1,1,2,7,9,30,29,7,16,5,22,1,9,17,2,5,22,1,29,29,2,20,4,6,5,26,21,15,11,11
PHO,2018,27,24,7,28,23,20,30,15,9,24,7,6,27,8,15,12,29,27,21,28,28,21,27,29,26,26,22,15,26,27,24,20,28,28,15,26,27,29,13,29,30,27,4,30
POR,2018,18,15,8,20,16,19,11,17,11,23,15,18,3,9,5,3,30,26,7,8,13,16,18,7,16,4,7,5,16,11,23,2,18,18,4,10,16,13,2,10,22,29,23,5
SAC,2018,18,21,15,22,26,28,3,12,3,29,30,30,28,19,29,28,25,11,25,9,19,30,18,10,2,25,29,28,29,2,1,26,17,17,13,7,23,20,18,17,14,12,30,14
SAS,2018,23,17,22,16,28,27,26,9,5,20,19,18,13,6,14,11,15,14,4,4,1,27,23,6,8,8,3,4,4,16,21,8,1,3,9,8,14,10,8,14,2,20,18,1
TOR,2018,8,3,6,7,4,3,18,13,25,3,9,13,4,14,11,14,6,18,2,6,27,4,8,8,14,5,1,2,11,21,27,3,26,27,16,17,5,7,7,5,18,12,16,6
UTA,2018,18,26,29,13,13,13,12,25,26,12,14,15,12,23,11,20,21,4,9,20,16,19,18,2,3,6,5,3,17,4,15,4,8,10,19,3,10,1,1,24,11,6,8,1
WAS,2018,5,12,19,11,21,23,4,10,10,14,13,14,15,13,22,21,4,10,22,18,25,13,5,11,9,15,12,14,6,12,9,23,22,26,10,16,7,10,10,19,13,6,15,15
ATL,2019,7,15,4,21,4,3,16,21,24,15,18,12,21,4,18,12,10,11,14,30,29,12,7,27,21,26,28,28,19,23,9,29,30,30,8,19,21,23,30,30,24,8,5,30
BOS,2019,18,11,9,14,6,7,7,18,18,11,28,29,4,20,16,22,5,4,10,3,12,14,18,4,9,4,15,22,6,5,5,12,13,16,12,16,22,22,8,2,2,7,26,8
BRK,2019,1,20,14,25,5,5,14,27,25,17,6,4,24,10,10,7,21,27,28,26,23,15,1,23,27,12,5,9,3,30,30,11,16,16,21,24,18,24,10,22,22,20,7,18
CHO,2019,11,21,12,26,11,10,18,24,19,22,9,16,6,19,22,23,24,21,18,2,3,19,11,20,13,25,25,22,23,14,7,24,5,2,30,12,25,21,26,4,29,17,18,17
CHI,2019,3,23,22,20,30,27,19,13,5,28,25,26,11,30,21,25,27,20,26,19,9,27,3,24,15,27,24,20,26,18,10,25,9,8,10,11,28,25,22,9,28,22,30,20
CLE,2019,24,26,23,28,20,24,13,20,13,29,22,27,7,12,28,26,29,28,30,9,6,29,24,28,7,30,22,11,30,25,6,30,3,3,19,6,13,8,24,6,27,28,28,24
DAL,2019,18,28,28,27,7,4,27,29,29,13,7,5,25,16,14,16,22,29,26,20,8,21,18,14,14,16,12,16,7,12,12,18,11,7,25,14,14,14,14,23,6,25,2,13
DEN,2019,27,12,11,13,18,16,17,10,12,10,27,25,20,2,17,8,2,13,24,8,7,20,27,5,4,15,10,13,1,6,4,21,7,9,2,7,2,1,16,14,14,17,20,6
DET,2019,7,27,19,29,9,6,23,28,26,27,19,17,23,5,24,18,26,22,29,11,26,25,7,6,2,24,1,2,9,21,17,22,18,21,5,3,12,6,8,5,17,14,11,7
GSW,2019,15,1,13,1,3,8,3,12,22,2,23,28,5,21,3,11,1,15,1,21,22,2,15,11,24,3,17,25,11,7,20,4,24,24,23,21,5,10,12,19,1,19,27,16
HOU,2019,11,25,26,24,1,1,12,30,30,3,3,7,9,14,29,28,28,5,18,6,25,11,11,10,5,19,3,4,2,20,13,23,21,20,16,23,10,16,7,11,8,9,24,10
IND,2019,30,16,27,4,29,29,5,5,7,16,26,23,22,25,23,24,9,3,20,10,4,22,30,3,3,6,14,14,14,3,3,7,4,6,7,17,3,5,13,13,21,5,23,1
LAC,2019,11,17,24,7,25,28,2,9,6,23,1,1,8,22,8,13,18,23,22,22,28,5,11,18,25,14,6,8,5,28,28,14,28,28,24,28,11,19,11,25,30,24,1,25
LAL,2019,18,6,8,9,20,17,29,3,10,5,24,14,29,15,4,6,11,16,8,29,13,16,18,21,28,9,20,27,13,16,24,10,17,14,28,27,23,26,21,26,20,12,15,21
MEM,2019,4,30,30,23,27,25,25,26,21,24,15,18,15,29,26,29,19,6,4,15,24,30,4,1,1,7,16,15,21,1,1,8,27,27,29,5,17,12,6,18,13,6,9,3
MIA,2019,27,24,21,22,15,14,21,22,20,20,29,22,30,7,15,10,17,14,4,23,15,26,27,2,6,2,21,21,17,2,2,2,14,13,18,13,7,9,4,15,11,13,22,2
MIL,2019,18,3,6,3,2,2,15,16,27,1,12,15,14,25,1,1,7,17,2,13,5,1,18,12,30,1,30,30,22,4,18,1,1,4,1,9,20,15,19,3,12,21,21,11
MIN,2019,11,13,5,17,23,26,19,6,3,25,4,8,10,6,25,19,15,7,17,4,10,13,11,22,20,23,29,24,29,8,11,16,12,11,15,26,9,17,27,1,25,11,8,23
NOP,2019,24,2,3,6,22,21,24,1,4,8,13,11,18,8,6,5,3,18,7,24,19,3,24,29,28,20,27,26,25,24,25,19,19,19,11,22,16,20,29,28,23,16,13,27
NYK,2019,18,29,18,30,24,22,28,25,11,30,11,10,19,13,20,20,30,24,13,17,16,28,18,19,16,22,19,17,24,15,15,20,21,22,14,20,30,29,23,11,26,23,14,22
OKC,2019,7,5,1,18,13,13,22,8,8,19,14,6,28,1,11,2,23,1,12,14,27,7,7,13,12,17,13,12,16,11,16,15,23,23,9,8,26,18,20,24,16,1,3,15
ORL,2019,18,18,15,18,12,15,11,19,16,21,30,30,12,17,13,15,12,26,6,5,2,24,18,7,8,11,7,7,10,9,19,12,6,5,27,2,24,11,2,7,5,26,29,5
PHI,2019,15,14,20,8,19,19,8,14,15,9,2,2,16,11,2,4,4,19,11,25,20,4,15,17,26,10,4,6,4,29,29,9,26,26,17,10,4,4,5,21,4,27,6,19
PHO,2019,4,22,25,16,28,23,30,15,14,12,17,20,13,28,30,30,20,2,15,28,29,23,4,26,10,29,11,5,28,27,22,26,29,29,4,30,19,27,25,29,15,4,17,28
POR,2019,7,7,7,12,17,18,9,7,9,14,5,13,2,3,7,3,25,25,16,11,11,6,7,15,19,13,8,3,20,22,26,5,15,15,20,15,1,3,3,10,18,29,16,14
SAC,2019,27,4,2,15,16,20,4,4,1,26,21,19,27,9,19,14,14,10,24,7,21,9,27,25,23,20,23,29,12,19,8,27,25,25,21,25,29,30,17,16,18,2,10,26
SAS,2019,15,8,17,2,26,30,1,2,2,18,20,24,1,27,12,21,16,30,21,1,1,18,15,16,18,18,18,18,18,13,14,17,2,1,6,4,15,7,18,8,3,30,25,12
TOR,2019,4,9,16,5,8,11,6,17,23,7,16,21,3,24,9,17,13,9,9,16,17,8,4,9,16,5,9,10,8,10,23,6,10,12,13,18,8,13,15,17,6,10,19,9
UTA,2019,24,19,29,10,9,9,10,23,28,6,8,3,26,18,5,9,8,12,3,27,18,17,24,8,11,8,2,1,15,17,27,3,7,9,2,1,6,2,1,27,9,15,4,4
WAS,2019,2,10,10,11,14,12,26,11,17,4,10,9,17,23,27,27,6,7,23,18,13,10,2,30,22,28,26,19,27,26,21,28,20,18,26,29,27,28,28,20,10,3,12,29
ATL,2020,23,17,7,23,16,8,30,17,18,14,12,15,10,19,23,22,17,13,12,28,30,17,23,29,24,26,11,7,22,28,27,25,30,30,16,29,25,28,21,29,30,11,13,30
BOS,2020,13,12,11,17,12,13,13,16,16,18,11,18,5,6,11,8,25,6,5,8,20,9,13,2,8,4,10,16,2,4,6,7,20,19,9,18,8,11,2,8,25,9,15,2
BRK,2020,11,19,10,24,9,5,26,23,22,15,15,9,25,9,2,2,15,27,23,24,16,16,11,18,29,5,13,18,9,17,29,5,12,13,13,24,20,22,3,16,21,28,10,19
CHO,2020,26,30,26,30,15,14,19,29,25,30,26,25,24,3,29,26,19,26,25,14,3,30,26,19,12,23,19,23,11,18,7,30,1,1,4,27,18,23,30,23,20,16,16,12
CHI,2020,29,25,16,26,14,11,22,21,19,25,28,27,21,13,30,29,23,1,26,27,24,27,29,7,1,27,4,4,12,14,4,28,28,28,5,16,22,20,25,24,28,1,29,14
CLE,2020,27,20,24,19,21,20,20,14,13,20,29,29,20,4,22,19,24,25,30,30,1,26,27,30,18,30,20,8,26,29,21,29,2,2,11,11,3,6,29,30,29,26,26,22
DAL,2020,1,9,9,16,2,2,10,26,28,4,10,11,14,11,4,4,14,29,16,2,6,3,1,21,26,13,17,20,10,22,24,13,5,6,7,21,17,19,10,5,5,30,9,16
DEN,2020,3,8,15,4,24,26,15,5,6,6,25,26,16,5,24,20,4,9,19,7,11,19,3,11,5,15,12,15,17,10,8,18,10,12,6,12,1,4,24,10,8,17,17,11
DET,2020,24,28,27,18,18,17,11,22,21,23,22,22,26,21,27,30,16,21,22,25,8,25,24,22,10,28,2,2,19,27,25,24,6,5,18,15,7,8,16,25,27,22,24,15
GSW,2020,27,29,21,29,28,25,29,19,8,29,9,16,4,18,26,24,9,7,20,19,10,28,27,23,16,24,28,17,30,15,11,21,11,10,23,17,27,26,28,27,17,6,21,24
HOU,2020,16,16,8,22,1,1,24,30,30,2,2,2,8,20,16,18,29,3,10,15,23,2,16,24,25,14,14,22,8,24,22,20,16,17,8,28,29,30,23,22,15,3,12,23
IND,2020,5,7,18,2,29,30,14,1,3,11,30,30,12,28,20,25,7,20,11,5,9,23,5,6,15,6,6,13,4,11,14,9,9,9,27,20,16,16,6,3,11,13,30,3
LAC,2020,16,10,14,12,13,16,6,13,14,17,1,1,9,8,3,3,22,24,18,13,26,4,16,8,21,3,18,27,5,6,12,2,19,22,3,25,13,18,9,14,13,20,1,13
LAL,2020,22,4,20,1,23,23,21,4,9,3,17,8,28,7,13,9,10,5,1,22,14,11,22,5,9,8,9,11,7,7,10,8,15,14,20,7,2,2,7,26,1,5,5,4
MEM,2020,9,3,6,7,25,24,23,2,4,7,23,24,19,14,5,5,2,12,7,23,18,14,9,14,22,9,23,25,24,8,15,6,26,25,21,19,12,14,18,21,22,12,20,21
MIA,2020,3,26,30,10,6,9,2,28,29,8,5,4,13,29,6,17,5,18,21,18,13,15,3,3,6,7,24,28,6,3,1,15,18,16,22,5,6,3,15,13,4,21,7,10
MIL,2020,6,1,4,3,4,4,18,9,23,1,14,6,27,25,1,1,6,23,3,20,7,1,6,4,30,1,30,30,15,2,13,1,8,7,25,8,28,21,11,12,9,19,6,8
MIN,2020,30,18,1,28,8,3,28,24,24,19,7,3,23,10,18,14,20,4,4,26,19,12,30,28,23,25,7,5,20,30,30,23,27,26,24,14,30,29,13,18,26,8,8,28
NOP,2020,13,2,2,13,5,7,7,15,17,12,20,14,29,2,10,6,3,19,13,29,17,5,13,26,28,19,14,14,18,25,26,16,25,23,28,13,15,13,14,28,14,15,11,27
NYK,2020,24,24,13,25,30,29,27,6,2,28,24,12,30,1,17,6,27,17,17,11,28,29,24,10,4,17,27,21,28,5,5,11,23,27,1,10,14,10,12,9,19,24,25,18
OKC,2020,13,23,28,8,27,27,17,12,15,10,4,5,7,30,15,23,28,16,15,6,4,21,13,16,19,10,5,10,2,20,20,14,4,3,30,23,10,12,5,7,3,18,2,7
ORL,2020,9,27,17,27,22,19,25,18,10,27,19,20,17,15,19,16,18,8,8,4,2,24,9,13,7,18,16,12,23,12,9,17,3,4,14,2,24,15,17,5,12,14,28,5
PHI,2020,6,14,25,10,19,22,9,10,11,16,21,21,22,12,14,10,8,9,9,10,15,20,6,9,3,16,1,1,13,19,23,12,17,20,2,1,5,1,4,4,2,23,18,6
PHO,2020,6,13,22,9,20,21,16,7,12,9,3,10,1,22,21,21,1,15,29,16,25,10,6,17,11,22,8,6,21,21,18,22,24,21,26,4,9,7,8,20,24,7,3,20
POR,2020,2,5,3,14,10,15,3,11,7,24,18,23,3,16,12,12,30,28,2,3,22,6,2,20,27,11,29,26,29,13,19,4,21,24,15,30,21,27,19,1,16,27,22,26
SAC,2020,12,15,19,15,11,12,12,20,20,13,27,28,18,23,25,27,21,14,27,12,27,22,12,12,2,21,21,19,16,9,3,26,22,18,29,3,11,9,20,17,6,10,27,17
SAS,2020,21,6,12,5,26,28,4,3,1,22,8,13,2,27,9,15,13,22,6,1,5,8,21,25,20,20,26,24,25,16,16,19,13,11,17,6,26,17,27,2,7,25,23,25
TOR,2020,16,21,23,20,3,6,5,27,26,21,13,17,6,24,7,11,11,2,13,17,21,13,16,1,13,2,25,29,1,1,2,3,14,15,12,26,19,24,26,11,23,2,19,1
UTA,2020,19,22,29,6,7,10,1,25,27,5,16,19,15,26,8,13,26,30,28,21,12,18,19,15,17,12,3,3,14,23,28,10,7,8,10,9,4,5,1,19,10,29,14,9
WAS,2020,19,11,5,21,17,18,8,8,5,26,6,7,11,17,28,28,12,11,24,9,29,7,19,27,14,29,22,9,27,26,17,27,29,29,19,22,23,25,22,15,18,3,4,29
ATL,2021,11,19,23,17,17,19,12,15,15,19,2,4,5,7,10,5,19,24,17,9,18,13,11,14,19,12,9,14,3,20,21,16,14,12,30,21,4,8,11,21,17,29,9,12
BOS,2021,16,13,11,19,11,10,10,16,20,17,25,25,16,4,22,15,25,13,6,16,24,16,16,6,4,14,16,15,22,6,7,10,26,25,22,7,7,6,9,10,11,13,13,11
BRK,2021,11,6,21,1,7,12,2,13,22,1,5,8,6,27,5,14,7,27,7,13,13,2,11,20,25,7,22,23,14,16,22,6,16,14,11,26,3,12,8,16,9,26,18,21
CHO,2021,19,22,20,22,10,9,14,26,23,22,26,24,21,6,25,19,5,10,16,24,5,23,19,15,14,17,28,30,17,4,3,30,1,3,1,27,18,19,30,24,14,9,21,13
CHI,2021,16,10,14,9,16,17,13,11,14,10,30,30,11,19,8,11,8,28,27,27,10,21,16,17,13,23,5,5,7,24,23,23,18,18,10,1,12,5,10,29,18,24,30,14
CLE,2021,6,29,28,25,29,28,30,14,9,26,14,9,26,10,28,24,21,12,20,29,7,30,6,21,8,29,13,6,28,21,18,27,8,7,16,17,14,14,20,28,29,12,6,17
DAL,2021,24,18,22,13,8,6,18,21,27,3,18,20,15,25,17,21,26,30,26,3,19,17,24,8,12,9,16,20,13,7,8,12,18,20,5,12,15,15,2,9,2,26,7,9
DEN,2021,1,4,9,4,15,16,8,7,11,6,27,27,7,8,19,13,5,8,21,12,14,8,1,7,3,18,20,22,11,5,4,26,17,16,9,4,2,1,24,12,7,14,15,8
DET,2021,6,28,29,24,22,21,22,22,19,23,7,5,24,18,26,25,18,17,8,25,26,27,6,16,11,26,2,1,10,26,24,24,15,19,3,19,16,17,15,23,28,15,5,10
GSW,2021,24,15,17,14,3,5,9,24,25,11,16,21,13,30,12,22,1,6,17,26,28,12,24,10,17,3,12,16,8,11,20,4,28,30,14,29,26,27,7,22,6,6,11,18
HOU,2021,24,25,15,28,9,3,28,28,28,15,17,10,27,23,24,27,24,14,14,23,21,24,24,25,18,27,23,19,27,19,12,25,23,24,21,18,30,30,21,27,21,11,14,27
IND,2021,4,3,3,11,18,18,17,5,6,12,20,26,9,26,21,26,2,5,1,13,22,6,4,26,26,16,4,2,16,30,30,7,25,26,19,30,21,25,28,11,23,8,26,25
LAC,2021,30,12,25,5,6,14,1,19,21,18,24,28,1,21,14,17,17,20,29,7,17,10,30,9,7,13,6,7,6,15,14,14,10,9,13,5,1,1,3,7,5,22,27,4
LAL,2021,4,21,27,12,25,24,21,12,12,13,11,6,28,17,15,16,15,11,5,28,16,22,4,5,6,8,3,4,4,13,16,9,9,8,12,2,9,4,13,26,8,4,3,2
MEM,2021,11,7,2,18,24,23,20,4,3,20,19,17,18,2,9,4,4,1,12,10,9,15,11,13,16,11,18,18,18,12,10,11,20,15,27,12,20,18,19,18,20,7,25,16
MIA,2021,16,26,30,14,14,11,19,25,29,5,13,21,12,29,23,29,9,9,30,17,12,25,16,3,2,6,27,29,15,1,1,20,6,6,20,8,11,10,23,13,4,5,10,5
MIL,2021,22,1,1,3,5,8,5,8,13,4,23,16,23,12,1,2,14,7,19,15,2,1,22,23,30,5,30,28,29,10,17,2,3,1,17,9,13,13,17,6,15,20,24,22
MIN,2021,11,20,6,26,12,7,25,18,17,21,8,7,22,9,27,20,11,3,3,19,27,18,11,27,20,28,21,12,30,23,25,19,27,26,23,20,23,22,29,16,26,3,8,29
NOP,2021,6,9,10,7,27,25,26,2,4,8,4,2,29,1,3,3,10,15,24,22,4,9,6,19,21,19,29,27,25,8,6,18,11,11,28,3,6,3,25,20,30,18,2,24
NYK,2021,6,24,26,21,21,27,3,17,8,29,21,23,14,16,7,9,29,21,11,6,25,26,6,1,5,1,10,21,1,3,5,5,13,17,4,10,17,16,6,3,25,23,29,1
OKC,2021,19,27,19,29,20,13,29,23,18,27,29,17,30,14,3,6,27,23,23,30,6,28,19,29,29,24,24,26,12,22,19,28,5,5,8,23,27,26,22,30,21,21,23,26
ORL,2021,22,30,8,30,26,22,27,20,5,30,15,15,17,11,10,7,28,25,22,5,1,29,22,22,23,21,25,25,21,14,9,22,4,4,24,12,29,28,27,15,24,24,20,20
PHI,2021,6,14,24,8,23,26,10,10,7,16,3,3,20,13,13,10,22,1,2,21,23,14,6,4,10,4,8,11,9,9,13,3,21,23,6,11,8,11,5,8,12,2,4,6
PHO,2021,1,2,16,2,13,15,7,9,16,2,28,29,2,28,18,23,3,19,25,4,14,7,1,11,9,15,7,10,5,18,15,17,12,13,15,6,10,9,4,5,1,17,28,7
POR,2021,24,15,4,23,2,2,6,27,24,28,6,13,3,3,20,12,30,25,13,1,10,5,24,18,15,25,19,17,20,17,10,21,24,22,26,16,22,21,16,1,10,28,16,23
SAC,2021,24,8,13,6,19,20,16,6,10,7,21,11,25,22,30,30,12,16,15,11,20,11,24,30,22,30,13,8,26,29,26,29,22,21,25,28,19,20,18,14,13,16,19,28
SAS,2021,1,11,7,20,30,30,24,2,1,24,9,12,10,24,16,18,16,22,10,2,3,20,1,24,24,22,11,9,23,27,27,13,7,9,2,24,28,29,14,2,19,19,22,19
TOR,2021,24,23,12,26,4,4,15,29,26,25,10,17,4,20,29,28,20,4,4,8,28,19,24,2,1,10,26,24,24,2,2,8,28,28,29,22,25,23,26,4,27,1,12,15
