,id,day,month,year,home_team,team,opponent,url
99,99,4,11,2013,0,HOU,LAC,https://www.basketball-reference.com/boxscores/201311040LAC.html
100,100,5,11,2013,1,TOR,MIA,https://www.basketball-reference.com/boxscores/201311050TOR.html
101,101,5,11,2013,0,MIA,TOR,https://www.basketball-reference.com/boxscores/201311050TOR.html
102,102,5,11,2013,1,BRK,UTA,https://www.basketball-reference.com/boxscores/201311050BRK.html
103,103,5,11,2013,0,UTA,BRK,https://www.basketball-reference.com/boxscores/201311050BRK.html
104,104,5,11,2013,1,DET,IND,https://www.basketball-reference.com/boxscores/201311050DET.html
105,105,5,11,2013,0,IND,DET,https://www.basketball-reference.com/boxscores/201311050DET.html
106,106,5,11,2013,1,NYK,CHA,https://www.basketball-reference.com/boxscores/201311050NYK.html
107,107,5,11,2013,0,CHA,NYK,https://www.basketball-reference.com/boxscores/201311050NYK.html
108,108,5,11,2013,1,NOP,PHO,https://www.basketball-reference.com/boxscores/201311050NOP.html
109,109,5,11,2013,0,PHO,NOP,https://www.basketball-reference.com/boxscores/201311050NOP.html
110,110,5,11,2013,1,DAL,LAL,https://www.basketball-reference.com/boxscores/201311050DAL.html
111,111,5,11,2013,0,LAL,DAL,https://www.basketball-reference.com/boxscores/201311050DAL.html
112,112,5,11,2013,1,DEN,SAS,https://www.basketball-reference.com/boxscores/201311050DEN.html
113,113,5,11,2013,0,SAS,DEN,https://www.basketball-reference.com/boxscores/201311050DEN.html
114,114,5,11,2013,1,POR,HOU,https://www.basketball-reference.com/boxscores/201311050POR.html
115,115,5,11,2013,0,HOU,POR,https://www.basketball-reference.com/boxscores/201311050POR.html
116,116,5,11,2013,1,SAC,ATL,https://www.basketball-reference.com/boxscores/201311050SAC.html
117,117,5,11,2013,0,ATL,SAC,https://www.basketball-reference.com/boxscores/201311050SAC.html
118,118,6,11,2013,1,CHA,TOR,https://www.basketball-reference.com/boxscores/201311060CHA.html
119,119,6,11,2013,0,TOR,CHA,https://www.basketball-reference.com/boxscores/201311060CHA.html
120,120,6,11,2013,1,IND,CHI,https://www.basketball-reference.com/boxscores/201311060IND.html
121,121,6,11,2013,0,CHI,IND,https://www.basketball-reference.com/boxscores/201311060IND.html
122,122,6,11,2013,1,ORL,LAC,https://www.basketball-reference.com/boxscores/201311060ORL.html
123,123,6,11,2013,0,LAC,ORL,https://www.basketball-reference.com/boxscores/201311060ORL.html
124,124,6,11,2013,1,PHI,WAS,https://www.basketball-reference.com/boxscores/201311060PHI.html
125,125,6,11,2013,0,WAS,PHI,https://www.basketball-reference.com/boxscores/201311060PHI.html
126,126,6,11,2013,1,BOS,UTA,https://www.basketball-reference.com/boxscores/201311060BOS.html
127,127,6,11,2013,0,UTA,BOS,https://www.basketball-reference.com/boxscores/201311060BOS.html
128,128,6,11,2013,1,MEM,NOP,https://www.basketball-reference.com/boxscores/201311060MEM.html
129,129,6,11,2013,0,NOP,MEM,https://www.basketball-reference.com/boxscores/201311060MEM.html
130,130,6,11,2013,1,MIL,CLE,https://www.basketball-reference.com/boxscores/201311060MIL.html
